nohup: ignoring input
=====================================================================================
🚀 算力怪兽重归正道：256核并行 | 强制 b=0 纯比例拟合 (寻找物理圣杯)
=====================================================================================
[*] 正在加载 100 阶黎曼零点真值...
[*] 锁定 100 亿步混沌演化 | 物理限制: b ≡ 0 (无漂移)
[Worker] k=8.808583 | MSE=75.0941 | Scale=326.3783 | 耗时=1991.8s
[Worker] k=4.487686 | MSE=121.9621 | Scale=316.4346 | 耗时=2056.0s
[Worker] k=8.434449 | MSE=104.8265 | Scale=326.3288 | 耗时=2087.9s
[Worker] k=9.016680 | MSE=47.4797 | Scale=323.6493 | 耗时=2088.2s
[Worker] k=11.620400 | MSE=105.0943 | Scale=333.2886 | 耗时=2113.7s
[Worker] k=6.182360 | MSE=70.1173 | Scale=319.7133 | 耗时=2118.5s
[Worker] k=4.883769 | MSE=116.7079 | Scale=316.6539 | 耗时=2120.5s
[Worker] k=13.798992 | MSE=66.4548 | Scale=337.5289 | 耗时=2136.9s
[Worker] k=4.907673 | MSE=43.8260 | Scale=317.7166 | 耗时=2139.4s
[Worker] k=12.805541 | MSE=125.1876 | Scale=330.8219 | 耗时=2142.4s
[Worker] k=4.777977 | MSE=103.7209 | Scale=320.2779 | 耗时=2143.7s
[Worker] k=3.876272 | MSE=39.0633 | Scale=315.7956 | 耗时=2146.4s
[Worker] k=10.295137 | MSE=72.1240 | Scale=324.0573 | 耗时=2147.7s
[Worker] k=10.743544 | MSE=11.8631 | Scale=312.5207 | 耗时=2148.7s
[Worker] k=13.534492 | MSE=81.7891 | Scale=337.6508 | 耗时=2154.0s
[Worker] k=10.419038 | MSE=150.0330 | Scale=328.3467 | 耗时=2157.8s
[Worker] k=14.506133 | MSE=56.9300 | Scale=329.9170 | 耗时=2160.5s
[Worker] k=8.264788 | MSE=109.8942 | Scale=326.7874 | 耗时=2161.9s
[Worker] k=12.194881 | MSE=47.6325 | Scale=320.8839 | 耗时=2174.3s
[Worker] k=11.241431 | MSE=34.6898 | Scale=315.3660 | 耗时=2176.2s
[Worker] k=4.741685 | MSE=85.6096 | Scale=323.3900 | 耗时=2181.0s
[Worker] k=14.098850 | MSE=53.1959 | Scale=323.6209 | 耗时=2185.5s
[Worker] k=3.062112 | MSE=138.2231 | Scale=326.3592 | 耗时=2191.5s
[Worker] k=12.530669 | MSE=76.7513 | Scale=331.5561 | 耗时=2193.5s
[Worker] k=14.652860 | MSE=140.2898 | Scale=339.2466 | 耗时=2199.6s
[Worker] k=3.490040 | MSE=67.9519 | Scale=318.9713 | 耗时=2203.4s
[Worker] k=8.175163 | MSE=173.2513 | Scale=332.0502 | 耗时=2208.5s
[Worker] k=11.526150 | MSE=32.8345 | Scale=321.1611 | 耗时=2210.0s
[Worker] k=8.090337 | MSE=98.0181 | Scale=321.9636 | 耗时=2212.4s
[Worker] k=10.917541 | MSE=115.8728 | Scale=320.1120 | 耗时=2212.5s
[Worker] k=2.173448 | MSE=120.6908 | Scale=330.0223 | 耗时=2213.9s
[Worker] k=5.250985 | MSE=93.5345 | Scale=318.3026 | 耗时=2215.1s
[Worker] k=7.221359 | MSE=20.7659 | Scale=326.6123 | 耗时=2216.8s
[Worker] k=8.461323 | MSE=87.7729 | Scale=331.2799 | 耗时=2218.0s
[Worker] k=10.337580 | MSE=50.8883 | Scale=316.0342 | 耗时=2218.6s
[Worker] k=9.774225 | MSE=67.6189 | Scale=323.8642 | 耗时=2220.2s
[Worker] k=13.517056 | MSE=90.3052 | Scale=331.8476 | 耗时=2220.2s
[Worker] k=6.430889 | MSE=19.2346 | Scale=328.0596 | 耗时=2223.2s
[Worker] k=14.175808 | MSE=68.1468 | Scale=322.4439 | 耗时=2224.7s
[Worker] k=14.707606 | MSE=74.9686 | Scale=336.8642 | 耗时=2225.7s
[Worker] k=5.499410 | MSE=98.4856 | Scale=317.5588 | 耗时=2226.6s
[Worker] k=5.214206 | MSE=118.6754 | Scale=328.8112 | 耗时=2227.8s
[Worker] k=5.509959 | MSE=109.9872 | Scale=329.6498 | 耗时=2228.6s
[Worker] k=5.001905 | MSE=49.7384 | Scale=327.0827 | 耗时=2230.1s
[Worker] k=12.034264 | MSE=75.0574 | Scale=326.6162 | 耗时=2235.7s
[Worker] k=3.445170 | MSE=50.4764 | Scale=324.0490 | 耗时=2236.6s
[Worker] k=2.535481 | MSE=80.3415 | Scale=319.2518 | 耗时=2236.7s
[Worker] k=5.634544 | MSE=180.9827 | Scale=341.6701 | 耗时=2237.8s
[Worker] k=4.640980 | MSE=63.8625 | Scale=319.6484 | 耗时=2240.7s
[Worker] k=10.653298 | MSE=88.1575 | Scale=322.1696 | 耗时=2242.1s[Worker] k=11.590225 | MSE=114.1979 | Scale=334.5039 | 耗时=2242.1s

[Worker] k=8.557515 | MSE=45.0686 | Scale=315.7944 | 耗时=2242.9s
[Worker] k=13.231585 | MSE=49.4679 | Scale=333.5170 | 耗时=2243.8s
[Worker] k=9.757552 | MSE=20.2380 | Scale=305.8568 | 耗时=2243.8s
[Worker] k=6.815428 | MSE=70.8200 | Scale=322.5174 | 耗时=2246.5s
[Worker] k=4.395093 | MSE=54.3707 | Scale=311.0371 | 耗时=2246.8s
[Worker] k=11.463349 | MSE=99.8382 | Scale=328.9993 | 耗时=2247.5s
[Worker] k=12.856848 | MSE=104.0518 | Scale=337.9115 | 耗时=2248.0s
[Worker] k=6.102101 | MSE=22.7015 | Scale=311.1666 | 耗时=2249.2s
[Worker] k=10.821206 | MSE=99.1459 | Scale=336.0483 | 耗时=2251.2s
[Worker] k=14.791341 | MSE=60.8574 | Scale=333.3111 | 耗时=2252.2s
[Worker] k=6.250179 | MSE=47.2104 | Scale=321.6183 | 耗时=2252.4s
[Worker] k=9.250073 | MSE=40.6889 | Scale=321.6636 | 耗时=2252.6s
[Worker] k=3.014505 | MSE=112.2835 | Scale=324.6621 | 耗时=2252.7s
[Worker] k=5.578368 | MSE=92.0202 | Scale=322.0143 | 耗时=2253.1s
[Worker] k=5.450339 | MSE=106.3967 | Scale=324.3726 | 耗时=2253.7s
[Worker] k=3.682257 | MSE=104.2382 | Scale=330.4669 | 耗时=2253.7s
[Worker] k=6.627771 | MSE=23.0967 | Scale=310.0136 | 耗时=2253.7s
