nohup: ignoring input
=====================================================================================
🚀 终极物理验证：共轭全谱线性拟合 (量子硬件底噪) vs 正半轴纯缩放 (理论极限)
=====================================================================================
[*] 靶向目标：前100个黎曼零点 (自动映射为 200 个正负对称点)
[*] 正在启动 256核 暴力寻优...
/root/miniconda3/lib/python3.12/site-packages/scipy/optimize/_differentialevolution.py:518: UserWarning: differential_evolution: the 'workers' keyword has overridden updating='immediate' to updating='deferred'
  with DifferentialEvolutionSolver(func, bounds, args=args,
[Worker] k=9.5684 | 物理全谱(含截距) MSE=68.50 (b=0.000) | 理论正谱(纯缩放) MSE=409.84
[Worker] k=6.1453 | 物理全谱(含截距) MSE=51.08 (b=0.000) | 理论正谱(纯缩放) MSE=1709.01
[Worker] k=9.9166 | 物理全谱(含截距) MSE=126.53 (b=0.000) | 理论正谱(纯缩放) MSE=193348.12
[Worker] k=3.9301 | 物理全谱(含截距) MSE=75.03 (b=0.000) | 理论正谱(纯缩放) MSE=36803.52
[Worker] k=9.9927 | 物理全谱(含截距) MSE=63.01 (b=0.000) | 理论正谱(纯缩放) MSE=136466.54
[Worker] k=9.8154 | 物理全谱(含截距) MSE=138.28 (b=0.000) | 理论正谱(纯缩放) MSE=28073.29
[Worker] k=9.3516 | 物理全谱(含截距) MSE=110.33 (b=-0.000) | 理论正谱(纯缩放) MSE=30892.79
[Worker] k=2.6052 | 物理全谱(含截距) MSE=56.96 (b=0.000) | 理论正谱(纯缩放) MSE=348.31
[Worker] k=2.2196 | 物理全谱(含截距) MSE=54.18 (b=0.000) | 理论正谱(纯缩放) MSE=111.49
[Worker] k=7.0083 | 物理全谱(含截距) MSE=74.73 (b=0.000) | 理论正谱(纯缩放) MSE=1855.10[Worker] k=7.3245 | 物理全谱(含截距) MSE=47.22 (b=0.000) | 理论正谱(纯缩放) MSE=211827.82

[Worker] k=6.0372 | 物理全谱(含截距) MSE=29.81 (b=0.000) | 理论正谱(纯缩放) MSE=33465.96
[Worker] k=5.3214 | 物理全谱(含截距) MSE=67.25 (b=0.000) | 理论正谱(纯缩放) MSE=1295.11
[Worker] k=7.6363 | 物理全谱(含截距) MSE=71.20 (b=0.000) | 理论正谱(纯缩放) MSE=17659.05
[Worker] k=9.2613 | 物理全谱(含截距) MSE=51.89 (b=0.000) | 理论正谱(纯缩放) MSE=1293.27
[Worker] k=9.9011 | 物理全谱(含截距) MSE=72.31 (b=0.000) | 理论正谱(纯缩放) MSE=803.20
[Worker] k=7.1645 | 物理全谱(含截距) MSE=85.10 (b=0.000) | 理论正谱(纯缩放) MSE=20037.26
[Worker] k=9.3603 | 物理全谱(含截距) MSE=41.71 (b=-0.000) | 理论正谱(纯缩放) MSE=162835.19
[Worker] k=5.1397 | 物理全谱(含截距) MSE=94.25 (b=0.000) | 理论正谱(纯缩放) MSE=1633.84
[Worker] k=7.4259 | 物理全谱(含截距) MSE=49.87 (b=0.000) | 理论正谱(纯缩放) MSE=1109215.57
[Worker] k=3.6071 | 物理全谱(含截距) MSE=35.79 (b=0.000) | 理论正谱(纯缩放) MSE=5146.12
[Worker] k=9.4463 | 物理全谱(含截距) MSE=65.15 (b=-0.000) | 理论正谱(纯缩放) MSE=444.54
[Worker] k=2.7163 | 物理全谱(含截距) MSE=30.30 (b=-0.000) | 理论正谱(纯缩放) MSE=7236.36
[Worker] k=2.5418 | 物理全谱(含截距) MSE=86.75 (b=0.000) | 理论正谱(纯缩放) MSE=59407.37
[Worker] k=7.7690 | 物理全谱(含截距) MSE=64.98 (b=0.000) | 理论正谱(纯缩放) MSE=3625.37
[Worker] k=2.9981 | 物理全谱(含截距) MSE=136.32 (b=0.000) | 理论正谱(纯缩放) MSE=294.39
[Worker] k=7.2295 | 物理全谱(含截距) MSE=57.91 (b=0.000) | 理论正谱(纯缩放) MSE=341.33
[Worker] k=3.8504 | 物理全谱(含截距) MSE=89.99 (b=0.000) | 理论正谱(纯缩放) MSE=48550.52
[Worker] k=2.9696 | 物理全谱(含截距) MSE=52.73 (b=0.000) | 理论正谱(纯缩放) MSE=79065.87
[Worker] k=7.8941 | 物理全谱(含截距) MSE=83.65 (b=0.000) | 理论正谱(纯缩放) MSE=84.54
[Worker] k=9.7334 | 物理全谱(含截距) MSE=109.89 (b=0.000) | 理论正谱(纯缩放) MSE=376346.19
[Worker] k=7.7127 | 物理全谱(含截距) MSE=38.13 (b=0.000) | 理论正谱(纯缩放) MSE=7075.79
[Worker] k=9.8568 | 物理全谱(含截距) MSE=66.76 (b=0.000) | 理论正谱(纯缩放) MSE=127249.05
[Worker] k=2.0063 | 物理全谱(含截距) MSE=34.68 (b=0.000) | 理论正谱(纯缩放) MSE=447.70
[Worker] k=6.6274 | 物理全谱(含截距) MSE=95.83 (b=-0.000) | 理论正谱(纯缩放) MSE=13284.04
[Worker] k=2.7387 | 物理全谱(含截距) MSE=102.66 (b=0.000) | 理论正谱(纯缩放) MSE=10891.62
[Worker] k=5.4210 | 物理全谱(含截距) MSE=83.25 (b=0.000) | 理论正谱(纯缩放) MSE=330673.10
[Worker] k=5.9721 | 物理全谱(含截距) MSE=133.14 (b=0.000) | 理论正谱(纯缩放) MSE=324.01
[Worker] k=8.1569 | 物理全谱(含截距) MSE=164.06 (b=-0.000) | 理论正谱(纯缩放) MSE=122221.28
[Worker] k=3.5794 | 物理全谱(含截距) MSE=42.08 (b=0.000) | 理论正谱(纯缩放) MSE=2752.02
[Worker] k=4.1936 | 物理全谱(含截距) MSE=48.16 (b=-0.000) | 理论正谱(纯缩放) MSE=48.27
[Worker] k=8.8540 | 物理全谱(含截距) MSE=75.01 (b=0.000) | 理论正谱(纯缩放) MSE=32505.55
[Worker] k=6.0679 | 物理全谱(含截距) MSE=35.91 (b=0.000) | 理论正谱(纯缩放) MSE=712.20
[Worker] k=3.3691 | 物理全谱(含截距) MSE=37.15 (b=0.000) | 理论正谱(纯缩放) MSE=2001.36
[Worker] k=8.2207 | 物理全谱(含截距) MSE=43.42 (b=0.000) | 理论正谱(纯缩放) MSE=3591.52
[Worker] k=2.0367 | 物理全谱(含截距) MSE=51.57 (b=0.000) | 理论正谱(纯缩放) MSE=610.63
[Worker] k=9.2074 | 物理全谱(含截距) MSE=46.08 (b=0.000) | 理论正谱(纯缩放) MSE=9128.17
[Worker] k=6.3551 | 物理全谱(含截距) MSE=65.12 (b=0.000) | 理论正谱(纯缩放) MSE=841.63
[Worker] k=4.0013 | 物理全谱(含截距) MSE=110.47 (b=0.000) | 理论正谱(纯缩放) MSE=16177.11
[Worker] k=4.6483 | 物理全谱(含截距) MSE=85.20 (b=0.000) | 理论正谱(纯缩放) MSE=601.20
[Worker] k=3.2115 | 物理全谱(含截距) MSE=58.69 (b=-0.000) | 理论正谱(纯缩放) MSE=273866.20
[Worker] k=6.2686 | 物理全谱(含截距) MSE=53.80 (b=-0.000) | 理论正谱(纯缩放) MSE=10713.01
[Worker] k=3.5097 | 物理全谱(含截距) MSE=41.06 (b=0.000) | 理论正谱(纯缩放) MSE=902.45
[Worker] k=6.8848 | 物理全谱(含截距) MSE=21.28 (b=0.000) | 理论正谱(纯缩放) MSE=6009.41
[Worker] k=5.9034 | 物理全谱(含截距) MSE=32.69 (b=0.000) | 理论正谱(纯缩放) MSE=18400.91
[Worker] k=4.3127 | 物理全谱(含截距) MSE=110.75 (b=0.000) | 理论正谱(纯缩放) MSE=737.51
[Worker] k=2.6392 | 物理全谱(含截距) MSE=54.33 (b=0.000) | 理论正谱(纯缩放) MSE=62.48
[Worker] k=2.1846 | 物理全谱(含截距) MSE=114.04 (b=0.000) | 理论正谱(纯缩放) MSE=91133.75
[Worker] k=4.4691 | 物理全谱(含截距) MSE=65.54 (b=0.000) | 理论正谱(纯缩放) MSE=46954.33
[Worker] k=7.1176 | 物理全谱(含截距) MSE=99.60 (b=-0.000) | 理论正谱(纯缩放) MSE=14851.34
[Worker] k=8.3582 | 物理全谱(含截距) MSE=41.57 (b=-0.000) | 理论正谱(纯缩放) MSE=2711.58
[Worker] k=9.6729 | 物理全谱(含截距) MSE=54.14 (b=0.000) | 理论正谱(纯缩放) MSE=7791.66
[Worker] k=4.9822 | 物理全谱(含截距) MSE=102.53 (b=0.000) | 理论正谱(纯缩放) MSE=34877.07
[Worker] k=4.2370 | 物理全谱(含截距) MSE=41.83 (b=-0.000) | 理论正谱(纯缩放) MSE=5423.50
[Worker] k=4.9577 | 物理全谱(含截距) MSE=56.77 (b=-0.000) | 理论正谱(纯缩放) MSE=110321.46
[Worker] k=9.5099 | 物理全谱(含截距) MSE=74.04 (b=0.000) | 理论正谱(纯缩放) MSE=3748.63
[Worker] k=5.9515 | 物理全谱(含截距) MSE=80.15 (b=0.000) | 理论正谱(纯缩放) MSE=67223.11
[Worker] k=5.8430 | 物理全谱(含截距) MSE=21.19 (b=0.000) | 理论正谱(纯缩放) MSE=498.41
[Worker] k=8.6588 | 物理全谱(含截距) MSE=114.96 (b=0.000) | 理论正谱(纯缩放) MSE=2053.74
[Worker] k=8.5738 | 物理全谱(含截距) MSE=134.88 (b=-0.000) | 理论正谱(纯缩放) MSE=69443.72
[Worker] k=5.3378 | 物理全谱(含截距) MSE=132.15 (b=0.000) | 理论正谱(纯缩放) MSE=50075.41
[Worker] k=5.0375 | 物理全谱(含截距) MSE=70.63 (b=-0.000) | 理论正谱(纯缩放) MSE=229.71
[Worker] k=4.3768 | 物理全谱(含截距) MSE=42.65 (b=0.000) | 理论正谱(纯缩放) MSE=1075.69
[Worker] k=3.4596 | 物理全谱(含截距) MSE=75.38 (b=0.000) | 理论正谱(纯缩放) MSE=2629.92
[Worker] k=4.3500 | 物理全谱(含截距) MSE=54.49 (b=0.000) | 理论正谱(纯缩放) MSE=234805.63
[Worker] k=9.6105 | 物理全谱(含截距) MSE=92.19 (b=0.000) | 理论正谱(纯缩放) MSE=112196.18
[Worker] k=7.5427 | 物理全谱(含截距) MSE=54.57 (b=0.000) | 理论正谱(纯缩放) MSE=870.42
[Worker] k=4.8846 | 物理全谱(含截距) MSE=45.74 (b=0.000) | 理论正谱(纯缩放) MSE=681.65
[Worker] k=2.4741 | 物理全谱(含截距) MSE=160.03 (b=0.000) | 理论正谱(纯缩放) MSE=14956237.82
[Worker] k=2.2346 | 物理全谱(含截距) MSE=66.83 (b=0.000) | 理论正谱(纯缩放) MSE=4922.30
[Worker] k=7.3995 | 物理全谱(含截距) MSE=40.01 (b=0.000) | 理论正谱(纯缩放) MSE=79.69
[Worker] k=6.3354 | 物理全谱(含截距) MSE=45.03 (b=0.000) | 理论正谱(纯缩放) MSE=117765.51
[Worker] k=9.9608 | 物理全谱(含截距) MSE=49.84 (b=0.000) | 理论正谱(纯缩放) MSE=800.58
[Worker] k=9.4646 | 物理全谱(含截距) MSE=40.43 (b=0.000) | 理论正谱(纯缩放) MSE=46878.29
