[2026-03-07 20:59:09] 🚀 2D 终极万维版启动 (N_BINS=10000)
[2026-03-07 21:17:47] [Worker] k1=np.float64(6.295697104523224), k2=np.float64(29.425974512318376) | MSE=22637173.677824 | N=2190 | 1117.1s
[2026-03-07 21:18:09] [Worker] k1=np.float64(12.6797923094305), k2=np.float64(2.8251682283139736) | MSE=16798.882506 | N=2201 | 1139.1s
[2026-03-07 21:18:23] [Worker] k1=np.float64(7.307872616672212), k2=np.float64(0.7474126849066742) | MSE=78519113.388459 | N=2163 | 1154.0s
[2026-03-07 21:18:25] [Worker] k1=np.float64(5.865228192508233), k2=np.float64(5.902672251170081) | MSE=4099423.470254 | N=2165 | 1155.9s
[2026-03-07 21:18:30] [Worker] k1=np.float64(5.531497135003255), k2=np.float64(26.703601047520074) | MSE=48269.695789 | N=2180 | 1160.3s
[2026-03-07 21:18:32] [Worker] k1=np.float64(9.596097504736077), k2=np.float64(28.257169494932192) | MSE=13100.756362 | N=2212 | 1163.0s
[2026-03-07 21:18:40] [Worker] k1=np.float64(6.29097730022213), k2=np.float64(18.460202838504532) | MSE=13937.944713 | N=2174 | 1170.7s
[2026-03-07 21:19:07] [Worker] k1=np.float64(12.185355942207902), k2=np.float64(31.314824337087444) | MSE=1443532.212723 | N=2213 | 1197.5s
[2026-03-07 21:19:36] [Worker] k1=np.float64(7.913691448002236), k2=np.float64(34.19201590746692) | MSE=80695.016536 | N=2206 | 1226.7s
[2026-03-07 21:19:47] [Worker] k1=np.float64(7.546316252379796), k2=np.float64(15.367887929662025) | MSE=2562.581350 | N=2175 | 1237.5s
[2026-03-07 21:19:53] [Worker] k1=np.float64(5.1451333330293005), k2=np.float64(8.348259564719996) | MSE=463506.359144 | N=2166 | 1243.1s
[2026-03-07 21:20:03] [Worker] k1=np.float64(13.54452061024864), k2=np.float64(-4.781963082787097) | MSE=1029861.264881 | N=2218 | 1253.5s
[2026-03-07 21:20:13] [Worker] k1=np.float64(14.590107366724656), k2=np.float64(24.17507576414497) | MSE=95606.452904 | N=2233 | 1263.8s
[2026-03-07 21:20:16] [Worker] k1=np.float64(6.131532116766055), k2=np.float64(19.751908504856523) | MSE=1971.737504 | N=2178 | 1266.2s
[2026-03-07 21:20:18] [Worker] k1=np.float64(11.590464946081584), k2=np.float64(8.399346717525496) | MSE=17327.379753 | N=2204 | 1268.8s
[2026-03-07 21:20:23] [Worker] k1=np.float64(7.464806108341669), k2=np.float64(32.49546023088136) | MSE=2183102.916476 | N=2180 | 1274.0s
[2026-03-07 21:20:28] [Worker] k1=np.float64(8.954938684658536), k2=np.float64(5.156462008156799) | MSE=16379657.687263 | N=2186 | 1278.1s
[2026-03-07 21:20:31] [Worker] k1=np.float64(11.651704643123274), k2=np.float64(-1.2682150675313828) | MSE=952659.168090 | N=2202 | 1281.5s
[2026-03-07 21:20:31] [Worker] k1=np.float64(11.461766467130376), k2=np.float64(7.476932880888725) | MSE=236701.129014 | N=2204 | 1281.9s
[2026-03-07 21:20:38] [Worker] k1=np.float64(6.006292672805614), k2=np.float64(-4.215056054346718) | MSE=48931.892500 | N=2163 | 1288.2s
[2026-03-07 21:20:44] [Worker] k1=np.float64(7.696293682446525), k2=np.float64(0.379456739424338) | MSE=115443.594282 | N=2167 | 1294.8s
[2026-03-07 21:20:49] [Worker] k1=np.float64(9.297427941294437), k2=np.float64(7.600416928204994) | MSE=220323.542149 | N=2190 | 1299.5s
[2026-03-07 21:20:55] [Worker] k1=np.float64(14.747707588654444), k2=np.float64(1.436892283192929) | MSE=5714.081945 | N=2219 | 1305.1s
